Round,College,Code,Branch,OC,BC,BCM,MBC,MBCDNC,MBCV,SC,SCA,ST
1013,"University College of Engineering, Villupuram, Kakuppam, Villupuram District 605103",CS,Computer Science and Engineering,148.0,138.0,101.5,127.0,0.0,0.0,112.0,0.0,0.0
1013,"University College of Engineering, Villupuram, Kakuppam, Villupuram District 605103",EC,Electronics and Communication Engineering,128.0,94.5,99.0,111.0,0.0,0.0,0.0,0.0,0.0
1013,"University College of Engineering, Villupuram, Kakuppam, Villupuram District 605103",IT,Information Technology,136.5,118.5,123.0,121.5,0.0,0.0,98.0,96.0,0.0
1013,"University College of Engineering, Villupuram, Kakuppam, Villupuram District 605103",ME,Mechanical Engineering,107.5,0.0,0.0,0.0,0.0,0.0,0.0,85.5,0.0
1013,"University College of Engineering, Villupuram, Kakuppam, Villupuram District 605103",XM,Mechanical Engineering (Tamil Medium),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1014,"University College of Engineering, Tindivanam, Melpakkam, Tindivanam, Villupuram District 604001",CE,Civil Engineering,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1014,"University College of Engineering, Tindivanam, Melpakkam, Tindivanam, Villupuram District 604001",CS,Computer Science and Engineering,143.5,112.0,82.0,114.5,0.0,0.0,103.0,0.0,0.0
1014,"University College of Engineering, Tindivanam, Melpakkam, Tindivanam, Villupuram District 604001",EC,Electronics and Communication Engineering,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1014,"University College of Engineering, Tindivanam, Melpakkam, Tindivanam, Villupuram District 604001",IT,Information Technology,118.0,106.0,86.0,111.0,0.0,0.0,95.0,0.0,0.0
1014,"University College of Engineering, Tindivanam, Melpakkam, Tindivanam, Villupuram District 604001",XC,Civil Engineering (Tamil Medium),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1015,"University College of Engineering, Arni, Arni to Devikapuram Road, Thatchur, Arni, Thiruvannamalai District 632326",CS,Computer Science and Engineering,130.5,112.0,0.0,113.0,0.0,0.0,95.0,109.0,0.0
1015,"University College of Engineering, Arni, Arni to Devikapuram Road, Thatchur, Arni, Thiruvannamalai District 632326",EC,Electronics and Communication Engineering,115.5,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1015,"University College of Engineering, Arni, Arni to Devikapuram Road, Thatchur, Arni, Thiruvannamalai District 632326",EE,Electrical and Electronics Engineering,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1015,"University College of Engineering, Arni, Arni to Devikapuram Road, Thatchur, Arni, Thiruvannamalai District 632326",ME,Mechanical Engineering,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1015,"University College of Engineering, Arni, Arni to Devikapuram Road, Thatchur, Arni, Thiruvannamalai District 632326",XM,Mechanical Engineering (Tamil Medium),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1026,"University College of Engineering, Kancheepuram, Ponnerikarai Campus, NH4, Chennai-Bangalore Highway, Karaipettai Village & Post, Kancheepuram District 631552",CS,Computer Science and Engineering,154.5,147.0,116.5,141.0,0.0,0.0,126.0,123.5,125.0
1026,"University College of Engineering, Kancheepuram, Ponnerikarai Campus, NH4, Chennai-Bangalore Highway, Karaipettai Village & Post, Kancheepuram District 631552",EC,Electronics and Communication Engineering,148.0,126.0,112.5,125.0,0.0,0.0,88.5,0.0,91.0
1026,"University College of Engineering, Kancheepuram, Ponnerikarai Campus, NH4, Chennai-Bangalore Highway, Karaipettai Village & Post, Kancheepuram District 631552",EE,Electrical and Electronics Engineering,126.5,97.5,100.0,102.5,0.0,0.0,0.0,0.0,0.0
1026,"University College of Engineering, Kancheepuram, Ponnerikarai Campus, NH4, Chennai-Bangalore Highway, Karaipettai Village & Post, Kancheepuram District 631552",ME,Mechanical Engineering,112.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
