Round,College,Code,Branch,OC,BC,BCM,MBC,MBCDNC,MBCV,SC,SCA,ST
5,Annamalai University Faculty of Engineering and Technology Annamalai nagar Cuddalore,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,49175,83496,105836,90291,0,0,102545,0,131902
5,Annamalai University Faculty of Engineering and Technology Annamalai nagar Cuddalore,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,89802,189286,153485,140912,0,0,150521,0,0
5,Annamalai University Faculty of Engineering and Technology Annamalai nagar Cuddalore,EI,ELECTRONICS AND INSTRUMENTATION ENGINEERING,112340,0,195174,164989,0,0,169227,0,0
5,Annamalai University Faculty of Engineering and Technology Annamalai nagar Cuddalore,IT,INFORMATION TECHNOLOGY,54488,100114,94596,84269,0,0,100065,94859,92826
5,Annamalai University Faculty of Engineering and Technology Annamalai nagar Cuddalore,ME,MECHANICAL ENGINEERING,120661,0,0,192330,0,0,179237,0,0
5,Annamalai University Faculty of Engineering and Technology Annamalai nagar Cuddalore,MM,MECHANICAL ENGINEERING (MANUFACTURING),146082,0,0,0,0,0,188452,0,0
1013,University College of Engineering  Villupuram  Kakuppam  Villupuram District 605103,CS,COMPUTER SCIENCE AND ENGINEERING,21630,52200,50157,46595,0,0,80089,140611,87736
1013,University College of Engineering  Villupuram  Kakuppam  Villupuram District 605103,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,47759,82671,86890,83887,0,0,128210,115580,184623
1013,University College of Engineering  Villupuram  Kakuppam  Villupuram District 605103,IT,INFORMATION TECHNOLOGY,38710,73912,79042,69211,0,0,92131,87874,0
1013,University College of Engineering  Villupuram  Kakuppam  Villupuram District 605103,ME,MECHANICAL ENGINEERING,114601,0,146455,185360,0,0,180776,0,0
1013,University College of Engineering  Villupuram  Kakuppam  Villupuram District 605103,XM,MECHANICAL ENGINEERING (TAMIL MEDIUM),183621,0,0,0,0,0,0,0,0
1014,University College of Engineering  Tindivanam  Melpakkam  Tindivanam  Villupuram District 604001,CE,CIVIL  ENGINEERING,138014,0,0,193042,0,0,176697,0,0
1014,University College of Engineering  Tindivanam  Melpakkam  Tindivanam  Villupuram District 604001,CS,COMPUTER SCIENCE AND ENGINEERING,38095,69850,60688,66099,0,0,94249,187236,0
1014,University College of Engineering  Tindivanam  Melpakkam  Tindivanam  Villupuram District 604001,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,55327,103338,77262,92644,0,0,139543,134880,0
1014,University College of Engineering  Tindivanam  Melpakkam  Tindivanam  Villupuram District 604001,IT,INFORMATION TECHNOLOGY,41319,80513,100088,73963,0,0,132883,174284,149800
1014,University College of Engineering  Tindivanam  Melpakkam  Tindivanam  Villupuram District 604001,XC,CIVIL ENGINEERING (TAMIL MEDIUM),102918,0,0,196371,0,0,0,132202,0
1015,University College of Engineering  Arni  Arni to Devikapuram Road  Thatchur  Arni  Thiruvannamalai District 632326,CS,COMPUTER SCIENCE AND ENGINEERING,43216,65719,96792,66256,0,0,133234,125637,0
1015,University College of Engineering  Arni  Arni to Devikapuram Road  Thatchur  Arni  Thiruvannamalai District 632326,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,68566,101732,176018,92120,0,0,140571,0,0
1015,University College of Engineering  Arni  Arni to Devikapuram Road  Thatchur  Arni  Thiruvannamalai District 632326,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,98932,122669,0,151428,0,0,0,0,0
1015,University College of Engineering  Arni  Arni to Devikapuram Road  Thatchur  Arni  Thiruvannamalai District 632326,ME,MECHANICAL ENGINEERING,110566,162203,0,189163,0,0,0,0,0
1015,University College of Engineering  Arni  Arni to Devikapuram Road  Thatchur  Arni  Thiruvannamalai District 632326,XM,MECHANICAL ENGINEERING (TAMIL MEDIUM),0,0,0,0,0,0,0,0,0
1026,University College of Engineering  Kancheepuram  Ponnerikarai Campus  NH4  Chennai-Bangalore Highway  Karaipettai Village & Post  Kancheepuram District 631552,CS,COMPUTER SCIENCE AND ENGINEERING,27125,51611,49724,37314,0,0,63448,135539,126749
1026,University College of Engineering  Kancheepuram  Ponnerikarai Campus  NH4  Chennai-Bangalore Highway  Karaipettai Village & Post  Kancheepuram District 631552,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,44115,71165,62566,69301,0,0,127524,186992,0
1026,University College of Engineering  Kancheepuram  Ponnerikarai Campus  NH4  Chennai-Bangalore Highway  Karaipettai Village & Post  Kancheepuram District 631552,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,72839,110124,88241,104504,0,0,140819,157940,0
1026,University College of Engineering  Kancheepuram  Ponnerikarai Campus  NH4  Chennai-Bangalore Highway  Karaipettai Village & Post  Kancheepuram District 631552,ME,MECHANICAL ENGINEERING,110660,148202,0,180512,0,0,164702,0,0
1101,"Aalim Muhammed Salegh College of Engineering, Nizara Educational Campus Muthapudupet, Avadi - IAF, Chennai-600055.",AD,Artificial Intelligence and Data Science,80835,0,85386,0,0,0,141933,0,0
1101,"Aalim Muhammed Salegh College of Engineering, Nizara Educational Campus Muthapudupet, Avadi - IAF, Chennai-600055.",AM,COMPUTER SCIENCE AND ENGINEERING (AI AND MACHINE LEARNING),91446,183596,96238,151630,0,0,0,0,0
1101,"Aalim Muhammed Salegh College of Engineering, Nizara Educational Campus Muthapudupet, Avadi - IAF, Chennai-600055.",CB,COMPUTER SCIENCE AND BUSSINESS SYSTEM,120408,0,121048,0,0,0,0,0,0
1101,"Aalim Muhammed Salegh College of Engineering, Nizara Educational Campus Muthapudupet, Avadi - IAF, Chennai-600055.",CS,COMPUTER SCIENCE AND ENGINEERING,90336,0,97149,187802,0,0,0,0,0
1101,"Aalim Muhammed Salegh College of Engineering, Nizara Educational Campus Muthapudupet, Avadi - IAF, Chennai-600055.",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,112863,0,115007,0,0,0,0,0,0
1101,"Aalim Muhammed Salegh College of Engineering, Nizara Educational Campus Muthapudupet, Avadi - IAF, Chennai-600055.",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,152674,0,0,0,0,0,0,0,0
1101,"Aalim Muhammed Salegh College of Engineering, Nizara Educational Campus Muthapudupet, Avadi - IAF, Chennai-600055.",IT,INFORMATION TECHNOLOGY,102385,0,114098,0,0,0,0,0,0
1101,"Aalim Muhammed Salegh College of Engineering, Nizara Educational Campus Muthapudupet, Avadi - IAF, Chennai-600055.",ME,MECHANICAL ENGINEERING,177568,0,0,0,0,0,0,0,0
1101,"Aalim Muhammed Salegh College of Engineering, Nizara Educational Campus Muthapudupet, Avadi - IAF, Chennai-600055.",SC,Computer Science and Engineering (Cyber Security),113811,0,117070,0,0,0,0,0,0
1102,"Bhajarang Engineering College, Ayathur Village, Veppampattu (R.S), Thiruvallur dist-602024.",CE,CIVIL  ENGINEERING,0,0,0,0,0,0,0,0,0
1102,"Bhajarang Engineering College, Ayathur Village, Veppampattu (R.S), Thiruvallur dist-602024.",CS,COMPUTER SCIENCE AND ENGINEERING,0,0,0,0,0,0,0,0,0
